lemma	translation
ad	give
akar	want
bemegy	go in
bocsát	forgive
eljön	come
eljő	arrive
elmegy	leave
ereszt	let go
esik	fall
eszik	eat
felel	answer
felkel	get up
fog	take
fél	fear
hagy	leave
hall	hear
hallgat	listen
hisz	believe
hoz	bring
hív	call
imádkozik	pray
ismer	know
iszik	drink
jár	walk
jön	come
jő	come
kell	must
keres	search
kezd	begin
kimegy	go out
kér	ask
kérd	ask
követ	follow
lát	see
meghal	die
megy	go
megöl	kill
mond	say
parancsol	command
szeret	love
szól	speak
tanít	teach
tart	hold
tesz	do
tud	know
vall	confess
vesz	take
vet	sow
visz	carry
áll	stand
ír	write
ül	sit